
> firefly@0.0.1 sweep
> tsx src/eval/sweep.ts --plans tower-5x4 --quick

sweep  plans=tower-5x4  modes=freeze,blind,saturate,flashover,mixed  k=1,2,3  targets=ignition,neighbor,far,random  onset=5  seeds=1,2  ticks=60  cells=120 x 4 brains
  12/120 cells
  24/120 cells
  36/120 cells
  48/120 cells
  60/120 cells
  72/120 cells
  84/120 cells
  96/120 cells
  108/120 cells
  120/120 cells

plan         mode       k   target    brain          falseCert  fc@P.9  coverage  wrongDisp   err C              ttr  ms/tick
tower-5x4    flashover  1   far       ours                  0%      0%       89%         0%     3.1        0.0 (2/2)     0.58
tower-5x4    flashover  1   far       kalman               76%     75%      100%        76%     6.3       22.0 (2/2)     0.22
tower-5x4    flashover  1   far       kalman-gated         83%     88%      100%        88%    47.7       36.0 (1/2)     0.19
tower-5x4    flashover  1   far       kalman-source         0%     11%       40%         4%     7.2        0.0 (2/2)     0.55

tower-5x4    flashover  1   random    ours                  0%      1%       48%         2%   166.9        0.0 (2/2)     0.63
tower-5x4    flashover  1   random    kalman               41%     75%      100%        76%    13.8       22.0 (2/2)     0.14
tower-5x4    flashover  1   random    kalman-gated         37%     88%       99%        88%    83.7       36.0 (1/2)     0.13
tower-5x4    flashover  1   random    kalman-source         0%     20%       38%        20%   168.4        0.0 (2/2)     0.39

tower-5x4    flashover  2   ignition  ours                  0%      0%       89%         0%     4.2        0.0 (2/2)     0.63
tower-5x4    flashover  2   ignition  kalman               76%     75%      100%        76%     8.1       22.0 (2/2)     0.21
tower-5x4    flashover  2   ignition  kalman-gated         84%     88%      100%        88%    44.9       36.0 (1/2)     0.18
tower-5x4    flashover  2   ignition  kalman-source         0%     29%       40%        20%    15.5        0.0 (2/2)     0.54

tower-5x4    flashover  2   neighbor  ours                  0%      0%       89%         0%     2.6        0.0 (2/2)     0.61
tower-5x4    flashover  2   neighbor  kalman               76%     75%      100%        76%     6.2       22.0 (2/2)     0.21
tower-5x4    flashover  2   neighbor  kalman-gated         82%     88%      100%        88%    47.8       36.0 (1/2)     0.18
tower-5x4    flashover  2   neighbor  kalman-source         0%     19%       38%        10%     9.0        0.0 (2/2)     0.54

tower-5x4    flashover  2   far       ours                  0%      0%       89%         0%     3.1        0.0 (2/2)     0.59
tower-5x4    flashover  2   far       kalman               76%     75%      100%        76%     6.3       22.0 (2/2)     0.22
